Jonathan Kuminga,SF,"['Elizabeth, NJ', 'The Patrick School']",6'7'',210
Chet Holmgren,PF,"['Minneapolis, MN', 'Minnehaha Academy']",7'0'',175
Patrick Baldwin Jr.,PF,"['Sussex, WI', 'Hamilton High School']",6'9'',200
Paolo Banchero,PF,"['Seattle, WA', ""O'Dea High School""]",6'8'',230
Jaden Hardy,SG,"['Henderson, NV', 'Coronado High School']",6'4'',185
Jabari Smith,PF,"['Tyrone, GA', 'Sandy Creek High School']",6'8'',190
Michael Foster,PF,"['Milwaukee, WI', 'Hillcrest Prep']",6'8'',220
Moussa Diabate,PF,"['Bradenton, FL', 'IMG Academy']",6'10'',190
Moussa Cisse,C,"['Memphis, TN', 'Lausanne Collegiate School']",6'11'',210
Nate Bittle,C,"['Central Point, OR', 'Crater High School']",6'11'',173
A.J. Griffin,SF,"['White Plains, NY', 'Archbishop Stepinac High School']",6'6'',195
Khristian Lander,PG,"['Evansville, IN', 'F.J. Reitz High School']",6'1'',160
Aminu Mohammed,SG,"['Springfield, MO', 'Greenwood Laboratory School']",6'3'',190
Efton Reid,C,"['Richmond, VA', 'The Steward School']",6'11'',225
Kennedy Chandler,PG,"['Memphis, TN', 'Briarcrest Christian High School']",5'11'',160
Max Christie,SG,"['Rolling Meadows, IL', 'Rolling Meadows High School']",6'4'',170
Kendall Brown,SF,"['Woodbury, MN', 'Sunrise Christian Academy']",6'7'',205
J.D. Davison,PG,"['Letohatchee, AL', 'Calhoun High School']",6'2'',175
Harrison Ingram,SF,"['Dallas, TX', ""Saint Mark's School""]",6'6'',210
Zion Harmon,PG,"['Benton, KY', 'Marshall County High School']",5'11'',175
Daeshun Ruffin,PG,"['Jackson, MS', 'Callaway High School']",5'9'',175
Frank Kepnang,C,"['West Chester, PA', 'Westtown School']",6'10'',220
K.J. Adams,PF,"['Austin, TX', 'Westlake High School']",6'6'',200
Charles Bediako,C,"['Brampton, ON', 'T, CANInternational Sports Academy']",6'10'',210
Trevor Keels,SG,"['Fairfax, VA', 'Paul VI High School']",6'4'',210
Daimion Collins,C,"['Atlanta, TX', 'Atlanta High School']",6'8'',190
Langston Love,SG,"['Universal City, TX', 'Montverde Academy']",6'4'',190
Jerrell Colbert,C,"['Pasadena, TX', 'Cornerstone Christian High School']",6'10'',197
Wilhelm Breidenbach,C,"['Santa Ana, CA', 'Mater Dei High School']",6'8'',205
Adama Sanogo,C,"['Elizabeth, NJ', 'The Patrick School']",6'9'',240
Malaki Branham,SF,"['Akron, OH', 'St. Vincent-St. Mary High School']",6'5'',180
Keon Edwards,SF,"['Phoenix, AZ', 'Hillcrest Prep']",6'7'',185
William Jeffress,PF,"['Erie, PA', 'McDowell High School']",6'7'',190
Dallan Coleman,SG,"['Callahan, FL', 'West Nassau High School']",6'5'',190
Ben Gregg,PF,"['Portland, OR', 'Clackamas High School']",6'7'',195
Caleb Furst,PF,"['Fort Wayne, IN', 'Blackhawk Christian School']",6'8'',215
Arthur Kaluma,SF,"['Glendale, AZ', 'Dream City Christian']",6'6'',210
Zaon Collins,PG,"['Las Vegas, NV', 'Bishop Gorman High School']",6'1'',165
Jackson Grant,C,"['Olympia, WA', 'Olympia High School']",6'9'',195
Trey Patterson,SF,"['Somerset, NJ', 'Rutgers Prep High School']",6'8'',207
Chance Moore,SF,"['Atlanta, GA', 'McEachern High School']",6'5'',175
Alex Tchikou,C,"['Phoenix, AZ', 'Dream City Christian']",6'11'',210
Meechie Johnson,PG,"['Garfield Heights, OH', 'International Sports Academy']",6'2'',160
John Butler,C,"['Greenville, SC', 'Christ Church Episcopal High']",6'11'',180
Johnathan Lawson,SF,"['Memphis, TN', 'Wooddale High School']",6'6'',170
Reese Dixon-Waters,SF,"['Los Angeles, CA', 'Saint Bernard Catholic School']",6'5'',180
Jax Robinson,SG,"['Ada, OK', 'Ada High School']",6'5'',180
Matt Cleveland,SG,"['Alpharetta, GA', 'Pace Academy']",6'6'',185
Trey Alexander,SG,"['Oklahoma City, OK', 'Heritage Hall High School']",6'4'',175
Peyton Watson,SG,"['Long Beach, CA', 'Long Beach Polytechnic High School']",6'5'',185
Bryce McGowens,SG,"['Piedmont, SC', 'Wren High School']",6'4'',175
Quincy Allen,SF,"['Washington, DC', 'Maret School']",6'6'',185
Isael Silva,PG,"['Carmichael, CA', 'Jesuit High School']",6'3'',175
Frankie Collins,PG,"['Chandler, AZ', 'AZ Compass Prep']",6'1'',175
Benny Williams,PF,"['Bowie, MD', 'St. Andrews Episcopal School']",6'8'',185
Hunter Sallis,SG,"['Omaha, NE', 'Millard North High School']",6'3'',175
Manny Obaseki,SG,"['Allen, TX', 'Allen High School']",6'3'',176
Dontrez Styles,SF,"['Kinston, NC', 'Kinston High School']",6'6'',190
Will McClendon,SG,"['Las Vegas, NV', 'Bishop Gorman High School']",6'2'',205
Warren Lynn Kidd,C,"['Gainesville, FL', 'IMG Academy']",6'9'',220
