Chet Holmgren,C,"['Minneapolis, MN', 'Minnehaha Academy']",7'1'',195
Jaden Hardy,SG,"['Henderson, NV', 'Coronado High School']",6'4'',185
Paolo Banchero,C,"['Seattle, WA', ""O'Dea High School""]",6'9'',225
Patrick Baldwin Jr.,PF,"['Sussex, WI', 'Hamilton High School']",6'10'',225
Jabari Smith,PF,"['Tyrone, GA', 'Sandy Creek High School']",6'9'',205
Michael Foster,PF,"['Milwaukee, WI', 'Hillcrest Prep']",6'8'',215
Caleb Houstan,SF,"['Montverde, FL', 'Montverde Academy']",6'8'',200
Moussa Diabate,PF,"['Bradenton, FL', 'IMG Academy']",6'9'',215
Nate Bittle,C,"['Central Point, OR', 'Prolific Prep']",6'11'',205
Kennedy Chandler,PG,"['Memphis, TN', 'Sunrise Christian Academy']",6'1'',170
J.D. Davison,PG,"['Letohatchee, AL', 'Calhoun High School']",6'2'',185
Peyton Watson,SF,"['Long Beach, CA', 'Long Beach Polytechnic High School']",6'7'',185
Hunter Sallis,PG,"['Omaha, NE', 'Millard North High School']",6'3'',175
A.J. Griffin,SF,"['White Plains, NY', 'Archbishop Stepinac High School']",6'7'',220
Max Christie,SG,"['Rolling Meadows, IL', 'Rolling Meadows High School']",6'7'',185
Harrison Ingram,SF,"['Dallas, TX', ""Saint Mark's School""]",6'6'',210
Daimion Collins,C,"['Atlanta, TX', 'Atlanta High School']",6'9'',190
Aminu Mohammed,SG,"['Springfield, MO', 'Greenwood Laboratory School']",6'3'',190
Trevor Keels,SG,"['Fairfax, VA', 'Paul VI High School']",6'3'',215
Kendall Brown,SF,"['Woodbury, MN', 'Sunrise Christian Academy']",6'8'',205
Efton Reid,C,"['Richmond, VA', 'IMG Academy']",6'11'',240
Bryce McGowens,SG,"['Greenville, SC', 'Legacy Early College High School']",6'6'',175
Langston Love,SG,"['Universal City, TX', 'Montverde Academy']",6'4'',190
Franck Kepnang,C,"['West Chester, PA', 'Westtown School']",6'10'',220
Bryce Hopkins,PF,"['Oak Park, IL', 'Fenwick High School']",6'6'',220
Malaki Branham,SF,"['Akron, OH', 'St. Vincent-St. Mary High School']",6'5'',180
Benny Williams,PF,"['Bowie, MD', 'IMG Academy']",6'8'',185
Nolan Hickman,PG,"['Seattle, WA', 'Wasatch Academy']",6'2'',175
Charles Bediako,C,"['Brampton, ON', 'T, CANIMG Academy']",6'10'',215
Matt Cleveland,SF,"['Alpharetta, GA', 'Pace Academy']",6'6'',200
Zach Clemence,C,"['Bel Aire, KS', 'Sunrise Christian Academy']",6'10'',215
Dallan Coleman,SG,"['Callahan, FL', 'West Nassau High School']",6'4'',185
Trey Patterson,PF,"['Somerset, NJ', 'Rutgers Prep High School']",6'8'',207
TyTy Washington,PG,"['Phoenix, AZ', 'AZ Compass Prep']",6'3'',175
Manny Obaseki,SG,"['Plano, TX', 'John Paul II High School']",6'3'',176
Daeshun Ruffin,PG,"['Jackson, MS', 'Callaway High School']",5'9'',175
Tyrese Hunter,PG,"['Racine, WI', 'Saint Catherines High School']",6'0'',170
Trey Kaufman,PF,"['Sellersburg, IN', 'Silver Creek High School']",6'8'',220
Jackson Grant,C,"['Olympia, WA', 'Olympia High School']",6'10'',205
Frankie Collins,PG,"['Las Vegas, NV', 'Coronado High School']",6'1'',165
Zaon Collins,PG,"['Las Vegas, NV', 'Bishop Gorman High School']",6'0'',165
Jaylon Tyson,SF,"['Plano, TX', 'John Paul II High School']",6'6'',195
Arthur Kaluma,PF,"['Glendale, AZ', 'Dream City Christian']",6'7'',210
DaRon Holmes,C,"['Goodyear, AZ', 'AZ Compass Prep']",6'8'',205
K.J. Adams,PF,"['Austin, TX', 'Westlake High School']",6'6'',225
Jalen Warley,SG,"['Norristown, PA', 'Westtown School']",6'5'',185
Kobe Bufkin,SG,"['Grand Rapids, MI', 'Grand Rapids Christian High School']",6'4'',180
D'Marco Dunn,SG,"['Fayetteville, NC', 'Westover High School']",6'4'',180
Zion Harmon,PG,"['Benton, KY', 'Marshall County High School']",5'10'',175
Jerrell Colbert,C,"['Germantown, TN', 'Houston High School']",6'9'',205
Alex Fudge,SF,"['Jacksonville, FL', 'Robert E. Lee Senior High School']",6'5'',185
Isa Silva,PG,"['Carmichael, CA', 'Prolific Prep']",6'3'',175
Tamar Bates,SG,"['Kansas City, KS', 'IMG Academy']",6'4'',185
Rahsool Diggins,PG,"['Warminster, PA', 'Archbishop Wood High School']",6'2'',170
Ben Gregg,PF,"['Clackamas, OR', 'Clackamas High School']",6'7'',195
Trey Alexander,SG,"['Oklahoma City, OK', 'Heritage Hall High School']",6'4'',175
Johnathan Lawson,SF,"['Memphis, TN', 'Houston High School']",6'6'',180
Dontrez Styles,SF,"['Kinston, NC', 'Kinston High School']",6'6'',185
Jordan Hawkins,SG,"['Hyattsville, MD', 'DeMatha Catholic High School']",6'4'',175
Mac Etienne,C,"['Wolfeboro, NH', 'Brewster Academy']",6'10'',240
Samson Johnson,PF,"['Elizabeth, NJ', 'The Patrick School']",6'9'',205
Pierre Brooks,SF,"['Detroit, MI', 'Douglass Academy for Young Men']",6'5'',210
Jaden Akins,PG,"['Farmington, MI', 'Sunrise Christian Academy']",6'3'',165
Wilhelm Breidenbach,C,"['Santa Ana, CA', 'Mater Dei High School']",6'8'',205
Ramses Melendez,SF,"['Kissimmee, FL', 'Central Pointe Christian Academy']",6'6'',180
John Butler,C,"['Greenville, SC', 'Christ Church Episcopal High']",6'11'',190
Will McClendon,SG,"['Las Vegas, NV', 'Bishop Gorman High School']",6'2'',210
Ernest Ross,PF,"['Alachua, FL', 'Santa Fe High School']",6'9'',205
Shane Nowell,SF,"['Bellevue, WA', 'Eastside Catholic High School']",6'5'',185
Jonas Aidoo,C,"['Durham, NC', 'Liberty Heights Athletic Institute']",6'11'',205
Josh Minott,SF,"['Boca Raton, FL', 'Saint Andrews School']",6'8'',200
Kaden Perry,PF,"['Battle Ground, WA', 'Battle Ground High School']",6'9'',210
Chance Moore,SF,"['Atlanta, GA', 'McEachern High School']",6'5'',185
Caleb Furst,C,"['Fort Wayne, IN', 'Blackhawk Christian School']",6'9'',225
Lawson Lovering,C,"['Cheyenne, WY', 'Central High School']",7'0'',225
Ahamad Bynum,SG,"['Chicago, IL', 'Simeon Career Academy']",6'2'',175
Quincy Allen,SF,"['Washington, DC', 'Maret School']",6'6'',185
Kowacie Reeves,SF,"['Macon, GA', 'Westside High School']",6'5'',180
Brandon Weston,SF,"['Brooklyn, NY', 'Hillcrest Prep']",6'4'',180
Mike James,SF,"['Orlando, FL', 'Oak Ridge High School']",6'6'',195
Jordan Nesbitt,SF,"['Saint Louis, MO', 'Christian High School']",6'6'',205
Bensley Joseph,PG,"['Putnam, CT', 'Putnam Science Academy']",6'0'',170
Julian Reese,C,"['Baltimore, MD', 'St. Frances Academy']",6'9'',225
Luke Goode,SF,"['Fort Wayne, IN', 'Homestead High School']",6'6'',180
Jaylen Blakes,SG,"['Blairstown, NJ', 'Blair Academy']",6'2'',185
Roosevelt Wheeler,C,"['Richmond, VA', 'John Marshall High School']",6'10'',265
Jakai Robinson,SF,"['Fort Washington, MD', 'National Christian Academy']",6'4'',190
KeShawn Murphy,PF,"['Birmingham, AL', 'Ramsay High School']",6'8'',225
Malik Thomas,SG,"['La Verne, CA', 'Damien High School']",6'3'',185
Logan Duncomb,C,"['Cincinnati, OH', 'Moeller High School']",6'9'',230
Anton Brookshire,PG,"['Springfield, MO', 'Kickapoo High School']",6'0'',165
Stevie Mitchell,PG,"['Reading, PA', 'Wilson High School']",6'2'',175
Jordan Longino,SF,"['Doylestown, PA', 'Germantown Academy']",6'5'',185
Casey Simmons,SF,"['Milton, MA', 'Milton Academy']",6'5'',180
Bobby Pettiford,PG,"['Creedmoor, NC', 'South Granville High School']",6'1'',175
Jahmai Mashack,SG,"['Etiwanda, CA', 'Etiwanda High School']",6'4'',180
Nnanna Njoku,C,"['Hockessin, DE', 'Sanford School']",6'9'',270
Mason Miller,PF,"['Germantown, TN', 'Houston High School']",6'8'',190
Devin Carter,SG,"['Miami, FL', 'Brewster Academy']",6'3'',180
Terquavion Smith,SG,"['Farmville, NC', 'Farmville Central High School']",6'3'',175
